Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
14861,5411,7,7000
-9775,-7131,1,7500
-4736,1049,1,9900
-6848,-9175,1,1700
-13119,-12886,1,12800
6860,11266,2,17800
5632,10458,2,15800
-16194,-283,1,14600
3429,14265,9,500
-6860,3468,4,19600
8091,12250,1,5000
13508,10817,1,17000
3471,-6393,3,15000
9314,-11464,2,8900
1397,6195,1,15800
-3452,16161,1,8600
-13043,-2896,1,22200
-15484,6142,2,4000
-7900,-10845,5,8600
-8891,-10190,1,15100
11869,8628,1,14000
-14823,-549,549,11900
-14543,15114,1,0
-13598,2146,2,20800
15157,2422,1,3000
12408,-2991,3,3400
-3173,-2834,1,4800
5195,10596,1,4200
14588,-7106,2,14600
-16310,3810,10,9900
-14763,5114,1,5400
-2557,14893,1,7300
3407,-9801,1,20400
-2805,-5224,1,13500
4035,10106,1,7400
-16224,-12934,2,14000
-3459,-7311,3,18300
-6003,10625,1,10100
11584,-6175,1,14800
-9906,2120,2,8700
-1013,16224,1,3100
-2187,-4309,1,22300
-2661,-3772,1,6100
2636,12378,2,5200
-5327,-3493,7,17000
14780,300,20,4800
-2667,3549,21,400
9069,-13642,1,5000
-11429,-9570,11,18700
-13521,-5987,1,13100
-923,4232,1,8200
-5479,-13784,1,5900
3753,-11703,3,18900
-7185,10649,1,16200
-1996,16201,1,14700
-9143,-12866,1,22300
623,-7713,1,17700
-16142,2499,7,10600
8866,-12860,2,3500
15375,-4278,3,18000
13238,712,2,6200
-9087,-6467,1,1000
-705,-6205,5,9000
-2804,8675,1,8600
11194,-3633,1,13200
-2376,7346,2,4700
7698,-13388,2,9800
-13705,8293,1,17300
11370,4516,2,10700
-4599,-818,1,5900
-13290,-2775,15,1200
-10211,-5140,1,3700
13546,-8869,1,6600
-6215,-11328,1,11600
-5192,-10410,2,14700
-7461,-9635,1,13600
-10732,-5397,1,12500
-14239,63,1,7000
15194,10134,2,200
-1754,13533,1,13100
-10509,-592,1,17400
-914,6529,1,900
-8237,14310,1,8500
-7292,-6568,4,18400
10566,10474,2,8500
4257,9669,33,13500
-16147,-7832,1,12400
-6896,14843,1,10800
11779,572,1,20500
6800,-7989,1,900
13797,-286,1,11300
-13318,10682,2,500
-13870,-7122,2,14700
-3805,4695,5,10100
495,-2243,1,6500
-11772,15564,12,3200
-13938,-16213,1,21500
13592,-2894,2,22400
8367,-10234,1,4100
-13050,-2518,2,14100
5831,899,1,4000
10624,11049,1,1300
-7487,-16,1,15400
12139,-11501,1,100
15427,1258,1,15800
-9152,-14196,52,1800
-9678,-9904,2,19600
-10062,-9845,1,13700
14968,3064,8,13800
7825,-6737,1,4000
5893,9376,1,8700
13806,14039,1,12100
11283,-7897,1,18300
-12928,-14355,1,10200
13231,-11523,1,18600
12870,-4606,2,14800
14965,-3880,5,6500
-5522,6048,2,5100
12699,-3928,1,7900
-2186,5723,1,5100
-7631,-562,1,7400
913,9898,1,800
9638,8072,2,12800
-436,10741,1,10500
1935,-7248,3,13900
-5007,-14609,1,9400
13476,8615,1,18800
-4309,-7130,31,11200
-9461,-5748,1,9200
-14740,12505,5,7400
-8230,-3151,1,16300
-11636,12297,1,4100
3543,9295,1,15900
-9933,-1582,7,11900
8578,-2184,2,2200
4472,9980,4,2800
-10667,-5810,1,13000
15178,6862,2,7400
-9910,11891,1,8800
-14833,7970,1,15300
-15202,-12096,2,10300
-13684,1727,11,15600
2260,1082,2,2300
-9211,-13854,1,1600
-6402,-14271,3,17900
-2907,-12002,17,18500
-8136,10507,1,15600
288,-7578,18,14500
15989,13649,1,10500
-12394,-7063,1,18800
6782,-952,2,9700
-6725,-5090,5,1400
823,10195,1,7000
565,-14177,1,14000
10788,1783,1,19600
-12987,314,1,2500
14637,7311,3,500
-854,-1595,1,9600
13726,1601,1,2200
-4414,12595,1,2200
5234,-12368,2,16200
243,-12699,9,15900
-7215,1523,1,16400
9545,-4286,1,2200
11735,8007,1,5600
-1184,-4598,2,10300
-1897,2816,1,6400
-3963,4327,1,4000
1888,-570,2,6100
11032,-10298,2,900
-16065,-12803,7,14400
-15052,-9116,212,19100
-7996,-2939,1,13100
6803,-1876,1,4400
-12023,1444,1,2800
11691,10048,1,2000
-9231,13888,1,13800
-6115,-11690,5,19100
3502,-16046,2,16700
14928,1221,3,23600
-3706,-15977,1,2000
-8615,12639,1,23700
3030,-11383,1,18600
-15841,1154,1,17300
13655,5005,5,1800
-9028,-3094,2,7000
15264,-13202,2,4400
-3290,201,1,18600
-5396,-5622,2,400
4110,-8166,6,7900
-6882,1099,1,11300
13064,-718,2,1700
-5630,5721,1,1100
-1299,2712,3,8000
-2858,13838,2,3800
-12419,5398,1,19000
-11511,-8277,3,7500
-12727,-13040,1,11500
6210,10697,1,18000
-303,-1515,303,15100
5028,-2670,6,1700
